*PIKACHU*;Midnight Hot! Midnight Hot!...
-tinost@r-;Revers coupé
ajnag;where no man has gone before
akhnotpierrot;Internaute
al_co;Patron Tortionnaire
Alysum;Dark side of the light
amdman;Hell was full, so I came back
angel18;From Montréal, QC
Atlantis;Enfin de retour au SOLEIL !!
BaCkFiRe;I ● Tokyo
belgarion;Emporté par le Nexus
BenO;Profil: Chercheur
Benweb83;Profil: iwinter
Betcour;Building better worlds
bidibulle;houg !
Biff Tannen;tampis
biour;!!Hardcore Will Never Die!!
Bison;L'avocat du Diable
bistou;Vieux .... très très vieux!
bitonio6;La HDTV = Arnaque Du Siècle!
boomer2607;i'm the best
bou_le_loup;bouuuuuuuuuuuuuuuhhhhhhhh!!!!!
BrainZERO;Great leader of the Kevin army
brains;In riding I trust !
The Real ChrisFox;Free your mind, buy a N-Wii !
Bruce;Music 4 your ears!
burgergold;5$? va chez l'diable!
c3po;All my life, all my dreams....
Cereal_Killer;updated
chamann;Vive les excès...
chapi;Downgradé
Cherrytree;cn=?
chocapic;VIEL OU LA
chrisleurn;Hardcore Will Never Die !
christof_brujah;viva portugaaaaaaaal !!!!!
CHubaca;Couillon
cirius;Je m'outre :o
com21;real men don't click
CorranHorn;0.300 GFlops/s
cosaque0262;Un jour peut être...
cpulloverclock;Chasseur de records
CrowFix;Official [HFR] Special Force
crystalizer;Simplement moi
cvanina;Ready for the laughing gas
dago;Here I come to save the day
dalida;Yolanda Christina Gigliotti
darklord;You're welcome
darkstalker;Saturn NTSC-J, What Else ?
Dark_Schneider;Close the World, Open the Net
darthnet;kylee & Renkaii
Dawa;www.shootmeagain.com
de@thm@ster of hell;D.o.H pour les zintimeuh ^^
deg-tcd;L'amer de sable
DepZ;Me choose to Go Face.
Did_u_fuck_my_wife;Nouvelle Ere. Piano & Muse
dioove;RaSta PAysAN, A fond a bloc'
Dj YeLL;$question = $to_be || !$to_be;
dofor;:F
dolan;Made in madinina
Dragoda;All Things Yīn & Yáng
drkarma;Old boy
DrWatson;_@''
eck;Mangeur de lumiere
el cabron;me gusta el perico
esheep;MrPollux@Polluxmtp
evilrulez;PSN : laurent13z
Ex-Floodeur;La Source
exceptionnalnain;Quel boulot de dingue hein ...
extazy;Pom Pom Pom
fanou;Une femme Barbara Gould
Fenris;Ar bleiz brezhon
fondbleu;naïf hart
Fred999;Rabat-joie
Freekill;Electron libre
godbout;Génial.
gofer_;Good For Equational Reasoning
goueg;De passage
guillaume;Fused by Remchar
Guish;On est enfermé dehors ...
Gum;Evadé fiscal
HAL;Pas un jour sans un but
Hellfire;Fuck you, Mr. Bitey!
HypnosS;J'ai tjrs raison !
iansolo;Man next door
ienchangel;test
ilien83;C'est écrit dessus ...
iolsi;UBCT Way Of Life:
javinian;30 years of fail
jihell;Un www.jihell.com c'est bien !
jm1981;- - - - - - - - - - - - - - -
Juju_Zero;Live Fast, Die Young
K-Surf;undercover
kalisto;Pause café
karamazov;Aucun lien...
karochky;Eleveur de castors à poil ras
kaz ander;Le médiateur :)
kecje;la bretagne c'est bieng  :o
Hrisson;Adrénaline Powered
keyzer93;Les consignes jy chi' d'ssus
KIKAduKANA;Le JungleCore, ça pootre!!
killer instinct;Bouge pas j'arrive ma louloute
knackboy;vie de chien...
kodamas;Cerné.
kokko8;Monde de Merde
KoRni;Vision analogique
kosss;Qwerty Keyboard
krampous;SODOMITE GREC ( assek!)
KronoMuldor;el decapsulator
Kronos66;¯\_(ツ)_/¯
Kuzco;L'Empereur Mégalo.
Latinus;truc muche
line;Bisounours'Land
LooSHA;D'abord !
lorelei;So goddamn slick it's a sin
Mattusud13;Il est propre mon chat
El_Dadou;"Enlarge Your Barre"
Ludal the lethal;Don't even think about it !
lux kalm volupt;color your world with light
luxy;le futur c'est ZEN et hydrogen
Magicpanda;Pushing the envelope
mareek;Et de 3 \o/
masterkard;Moins t'en fais, Mieux c'est
masterofpuppets;use once and destroy
meatpuppet;It's a tarp !
MEGA Z;I'll        Be            Back
metos;҉ OOoo  hi-lo powered
Meuh;Tendeur de perche
Minouchette; Mistrust The Angels 
MirabelleBenou;Gabou ! (ainsi parla le sage)
Monsieur Dutiyeul;J'avais compris M. Crémayelle
morganno;oui oui, toi aussi.
morgoth1;Agathe ze Céleste powah§§§
mougwai;I.C.A.
moule_bite;personnelle mais peu citée
moutmout-le-mouton;nerfs en pelote
mrpoisson;Think before picking a nick ;)
Nashtbg;無駄だ
Neostranger;Tout est bon dans le cochon
NHam;Stop, look and listen.
Nicool;En bois, sauf les chèques...
Ninipc;Réalisé sans trucage
NINOH;Nexus 7.0
nofret;The things you own ....
nonox;Kuchiyose no Jutsu
Notsukaw;Be Aware
NSV;Living on my own.
Oliver The Great;There is no plan B
outrefrate;Hu cocotte
oxman;xiii
Oxygen3;Tears from the moon
panzemeyer;The torture never stops
phenos;Parti un jour...
PiChA;(no longer)PoWeReD by GiTaNe-M
PIKACHU;Suce la vie à pleine bouche
pinguin007;a npe error
Pinzo;Vorsprung durch technik
Poisse;Jukenhou Hakke Rokujuu Yonsho
popok;Classe
Prems;Just a lie
PrianiK;battletag Vdz#1233
Prosper Youplaboum;Je me lève et je confirme!
pvhk;lord Vader
PyroPsy;#3rhubarb
Quannum;Ca c'était du Premier ministre
reddwarf;gazzz
rhfr;tripping wires
Runje Le Mur;Je suis juge-pénitent.
sadistyk;I'll see you out there
sateeva;Shawarma Police
schnapsmann;Zaford Beeblefect
Scoub the first;Desagrégé des universités
Serge Karamazov;Tilt d'or 1993
liam prodigy;I will fight with honor
shalkys3;made in rimard
Shaman LizardKing;Blanc2poulet
Shinji_kun64;NO WAY
Silk;Canard Laqué
simogeo;j'ai jamais tué de chats, ...
bigpizzaman;vive le cable et amd
sirthomaslipton;-
sisicaivrai;Life is Beautifullll
smaragdus;whores, drugs & J.S. Bach
SplinterMaze;I want to be a kid again.
Stormlord;Mark it zero
Stukka;Panzer-Fluid
supermec75;loading  |||||... 60% done
Suri;Darksurious
Susmab;id PSN chris4535
tableix;Notre pouvoir, ne pas acheter!
Talisker;Pouet pouet badaboom
Tamahome;⭐⭐⭐⭐⭐
tceupa;Ingeniere del cazzo
tharkie;Effaré par l'idiotie humaine
tharkun;Je suis un Génie !
thc;Addicted ღ
theorie du chaos;morte et enterrée
TheSeb;theREALseb
The_Balrog;Et là, c'est le drame...
THE_ELMINSTER;TT:2 BAN:0 Topic Closed:3
ThierryH;Keep4eveR
Tilys;Heartbreaker
timekeeper;sous contrôle..sous contrôle..
Toad666;Ange malade
topacdebiere;Je suis ABSOLUTISTE !
Toxin67;.::NeuroDesign::.
toytoy;Banzaiiii !!!!!
Trunchy;metallement instable
Ttienne;C'est pas pour me vanter, mais
tweetylebreton;io
unhunter;TP forever
urd-sama;waste of space
Urgeman;Punishment is my business
uriel;blood pt.2
vachefolle;russian knights en action
VampirX;Metalleux insomniaque.
jaguargorgone;I'm Jack's subliminal warning
Violette;Ce qui blesse instruit
VydoLL;Cat Killer 0_-
Webmaster Risko;huh?
whyjuan;HATE ETERNAL
wilsfrid;...:::Sleepy Dragoon:::...
Wiwige;Toutes façons, c'est ma faute
wonee;Ben Chui SyMpA
x-files;Rà, c'est beau...
xdc360;Rond point expert...
xice007;Koudy vy îidete?
XTC;Иo Яєδєmρtion
xzara;Quoi ma gueule ??
Yems93;Abordable comme un 100g
Yop ma caille;Assassin d'enfants
zealot1337;Tu m'as vu quand j'ai bu
zeuartisan;Lefilpoupre dans la bibli.
zion;Plop
zytrahus5;wait what?
-neon-;Illuminé
_gero_;2eme Effet Kiss Cool ©
_lapin_;fallen for you
_slash;Inaccessible
yopyopyop;หมดตูด
McWimpy;Qu'est-ce que je fais ici ...
Volta;Whatever the fuck i want !
coockie_jr;All hail the Hypnotoad !
jack ryan;Slaughterhouse General
doriAngrAy;Roscoe Action
nicogun;Homo Sapiens Internetus
Kryten;Casio brille-brille, t'entends
Jovial;It's clobberin' time
Tang;Plug'n'Troll
jotb;Mon nom est Capitaine.
AngX;bleu 485
Enzan;Bougresse sur canapé...
El Pollo Diablo;REACHED THE END OF CAKE
nekromanttiK;Pas une lumière !
sister;Oh hai Marc.
667;Le voisin de la Bête
hfrBaXtER;O_ô
noxauror;Next.
tet2neu;emmerdeur
glossypaper;Motard des terrasses :o
Fendnts;My fading voice sings of love
Mr yvele;yvele n'est plus.
la_taupe;myope-la-boum
tristanf;RIP Rostro
muse;A kiss that can't renew
mikala;Souviens toi du 5 Novembre...
usa_satriani;S.P.Q.R.
Okysp;Rien.
powpowman;achetes mon fils
udok;La racaille des barbus ©clémen
pcgamer;tu pe pa test
Taz;bisounours-codeur
tigre01;AMD Power User since 1996!
noldor;Rockn'roll
Atropos;Peace Love Death Metal
BillyLeB;Le gras c'est la vie !
C@ssius;La rage de réussir wesh kouzin
Vesuve;Machine de guerre
wizopunker;FUCK ANARCHY!
frenchdav;Monocylindre en V
tendulkar;Gunner Inside
phnatomass;Je m'empare de ton esprit !!
lupienblanc;quelle mascarade ce jeu de con
vanilla;datoune's revival
Black Hole Sun;Esprit chaotique
Monsieur sire;Gentleman barfly.
ronnie911;Who Else ?
gilevr6;Comment on devient Modoturbo?
wilek;Empereur d'orient à mi-temps
DeathMask;Pourrie ta colle!
Mad_Overclocker;S=C³A/4ħG ? Ask Datoune
Marcelo;Ball don't lie.
stiffler;Lâche mon profil putain ! :o
inti;t'as mieux mais tapir
chtieric;lunatique... et looser.
bibou_62;geekette inside.
misato;Clavicula Nox
Moktar1er;No one replies...
shadowavenger;Modissimo : la mode, l'immo
tyler1207;cowan, basagotia, lenosky...
glod 2;Votre trajet, notre projet.
SH4 Origon X;Je ne vous hais pas.
Dbbg;Modérateur adjoint
Ozstrickeur;Citation a la con...
Toulak;What's the point ?
Malicia;Boul33te fatiguée
am7;tadam
loneliness;BTC accepted here
m-power-bmw;M-Pow/Powered by CharlesT
JeanY;ça le fait grave...
boulax;Inserer phrase hype en anglais
ahcarien;Cémoi, Cémoi...
printf;Baston !
dracula;Retraité ^^
bigoudi33;A Sustainable Development ?
Zolive;Vive la Vie ! (PSN ID:Zoliver)
sicarius;Je trompe énormément ...
mostwanted;Profil: Futur Mod et Rateur
magic-sim;Attention, pougnat radioactif
el_marco;om mani padme hum
tokato;The way I am
RaStiScaR;- ZaG -
kriloner;cold-hearted bastard
rn35000;~Bzh~
NoradII;Il y a 17 ans naquit un PC
raoul_volfoni;Klaatu Barada Nikto
Walk_Man;To live is to die.
Berkut;gladiateur de la science
Snip;Working as intended
la buvette;$í j'ø$âí$
Sndk;Hardcore Gamer
danton;la tête sur les épaules...
ILLUSION66;Qui ne tente rien na rien ...
ooterreuroo;'You could drift this car while reading a book'
nicooldu64;Citation personnelle associée
G@mbit;Parce que ça chie à l'oreille
zyx;NCC - 1701
4SpiK;qtπ
ptichat;Blood sugar sex magic
flit;modo des ups
redpoppy;Poppy la rouge
Talen;Wish upon a star
buffo;Redfarceur :o
Dawen;vous salue bien
lecep;pigeon avec petits pois
vapeur_cochonne;Stig de Loisir
Dream49;Simplement moi
jyvais;et vlan!
stitch+;fais moi Plop !
annuegypte;Non, non c'est kloug.
nyhctom;C'mon c'mon
isofouet;Moi faut pas m'énerver
audioslave227;virez le slave227
Eddy_;21/04/04 - 18/12/07
archange_redemption;大塚愛
gysmovoile;Pur beurre :o
fishhot;เสร็จสิ้นวันหยุด
swissforever;i7 Inside
seraphin;That's Entertainment !
secalex;Stalker forever
ben 14;motar et routar
mop_44;Never the less
lechewal;des sensations...bien
the bulleur;Born to be alive  ☺☺☺
toede;barbatruc
krysalia;Remember that all is vanity
Herr Doktor Kilikil;Pan
Kortex@HFR;Qu'ils sont cons ces lamas !!!
Terminapor;I'll see you rise.
roscocoltran;L'enfer c'est les utilisateurs
bricocoman;j'aime les modos
Leto 42;Globalement inoffensif
adonai_24;The trick is to keep breathing
eeeinstein;Électricien au CERN
stipey;you can't buy me on e-bay...
crayon29;mine de rien...
XPaY;Dehors les belges!
AkiraDuNod;You Can Kill The Messiah !!!
Nco34;Trackmaniaque
boober;Compromis, chose due
tenchi-sensei;Brütal
Roland de Gilead;Ne poste plus sur hfr !
jpcheck;Pioupiou
mucus;forti fide, vacuo animo
Fraisouille;Grouik Grouik
Kryone;Cordialement
aramada;Veritas Liberabit Vos
hans zimmer;The thin red line.
nieuwveen;UNAM Pumas Mexico
mixoumix;Pire pseudo ever
papa de luna;Tres DeSpe Tres Frappé!
ManfOo;Louis-croix-V-bâton
FpsFan;Destructureur d'intemporalité
wend;Celtic insane live from asylum
castor66;Fidel Castrouille
Leroi14;Tim_coucou
toto408;free porn
woody 75;PSN: geekfou
tatsui;Bazinga !
Grubnatz;me name is potato
mixmax;Too old for this shit.
Mr Bear;Grumpf !!!
Syl_83;Already in the legend...
tcho bilout;PSN : TchoBilout
xxantoinexx;Maek Dolan gret agen pls
pingouino Loco;Dancing on your grave
BuGuL NoZ;Du coté Rainbow de la force
elianor;bannie 17 fois
Mario_;Vive le pingouiboulga !!
bestak;Denboraren orratzak
TKG;Just a Sweet Transvestite...
_gilou_;foad
kryptos;Smokin'
psychatricmeuh;Empty Walls
brusswilice;Hé mec, elle est où ma caisse?
Cubensia;Men Sana In Corpore Sano
Metaluna;ID PSN : IGLO92
duc-leto;aka Duke
biboo_;\o/
mustang766;Inutile donc indispensable.
Sebou77;French Tech powaa :-)
pouvrem;Mode B
custard;Nobody fucks with Jesus!
g4w3ll;Droit de l'hommiste bobo naïf.
superbonhomme;'tin énorme ces champignons !!
solyfiestas;à vos souhaits :o
Elegy_Wilde;HIIT like a girl
ArnaudR;Street spirit
Baathor;GT: iSuitUp
Popoll;J'aime les gens bons !
JFKen;Un V8, une femme, une pipe
TheRealObi-One;♥ Maître Jedi  du Taunt ♥
the_bob;André the Giant Has a Posse
Sharen Morgan;Blonde à forte Personnalité
eurys;Humour noir en IV
dju ju;Stand clear
liverpowen;Profil : Friche Culturelle
fresnel1;tranquille le chat
littleone;In 64 bits we trust
theredled;● REC
gurk13;quelqu'un a internet ici ?
patator_bzh;3nL4rg3 Y0uR Th3s1S
darckcrystal;Anima Sana In Corpore Sano
vanquishV12;se coucher tard nuit
Devil_Weapon;Dark Avenger
AMD Powered;My Topal Burn The Fp
Itoman73;Le choix du Roi
seb613;chgt de pseudo -> sirolimus
Lycos5;Don't feed !
Swiss_Knight;600 MeV since 1957.
Geekly;Tartine de foutre.
Megalyth;no way
the_rainmaker;Mâle nécessaire
Ben_be;ʎlıɐp uǝɯǝlʇuǝƃ  ̡̢̛̗̘̙̜̝̞̟̠̊̋̌̍
Ender212;Some say
arsene de gallium;Aide toi le ciel t'aidera.
JMAulas;Membre de l'église symaskiste
taliesin74;Templier mécréant
gurb44;Kompakt's Addict
Shinuza;This is unexecpected
shadowdim;Perdu
snaluori1;Utinam
jmplinux;Informaticien à sa mémère
Mak Fouente;You killed the wrong girl
kurtosis;R.oi des Euros
ftp381;ça fûme!
brittanywow;jeune vierge pour vieux mr
twistou;Les cons, ça ose tout ...
dami1stm;Eco-coco φ
The Diamond Geezer;Le plombeur de topics
aybiwan;lemonade death
lanimal2;I'm bipolar BUT when I ride'.
poiro;Alea jacta est
enyg;Cristaux liquides mes couilles
solx;All in the game
scad;Maxime et Emmy!
Goldos;Lapinator :o
knox51;Knox l'ecureil
Misssardonik;prévisible a posteriori
zviato;Modo E&E Déchu :-(
lee adama;What the frak ?
Nicarao;---
bibir;Chasse au bruit non mélodique
labraskyblc;VW T4 addict
FlatFab;Motologiste
Fssabbagh;Satsui no Hado
Alex-YZ 250;@Stock
justhynbrydhou;Tripping major ballsack.
mIRROR;Chevreuillobolchévik
Amaniak;Schnitzel, Prima!
Ramasse-Miettes;Still Making Sense
ZeMuf91;Marchaÿ c'est bien
esfahani;Esfahan nesf-e djahan
rastafia;sélavi
leserigraphe;Stop the music and go home
noobzed;Where is Brian ? DTC !
pin;fluctuat nec mergitur
Biiij;Suck it up, move on.
Bruyere;El sueño de la razón
tim_coucou;Fitter Happier
justbam;All Your Base Are Belong To Us
Desperadoflamenco;Lord of Glencoe
wedgeant;Da penguin inside
darknes13;Core I7 8700K inside
ironmike2;Psycho-somatic addict insane
Sat45;ÉcouTeSA
pixel-1949;M42 à l'infini
cHacAL31;Jamais parlé de Boobs&Guns !
Tusken;God is a surgeon.
totiorip;Psn ID & Gamertag : Totorip
floootheone;Jack's colon
adamckiewicz;t'as ta carte biblio bordel ?!
vinsurvain;Et pas la moyenne...
punisher160;Bras droit Osef
HiSpeed;Where is the limit?
Aranthys;Gâche sa vie avec son Pwôk
Docteur Tenma;Life is a Game !
meteorik;Finish him !!
bartaban;It’s alive! It’s alive!
karlit;NO FEAR
gregosv;Profil non sup​primé
yiipaa;love love et qu'ça saute !!
le vrai rdu;je suis oignon
barbybulle;GIGABYTE OC Team
10-david;Fouyouyou
sicqo;unleash the dragon...
stratmatt;GT : Stratmatt59
dedouille29;ex intermendiant  du spectacle
Skandranon;☻ X-Trem ☻
bouba-el-perro-loco;since 1976
Grounded;Man with burning hair
RapscalliOn;Brebis qui bêle perd sa goulée
rubon;RESIDENT TEAM OSEF
bachornoss;PSN : Bachor
SladShot;DERP GARAGE gold member
Disturbed Angel;／人◕ ‿‿ ◕人＼
couilleshot;Les bouboules et la boubouche
multivitamine;Marchande avec cela.
sneijder;BRANCHE HFR D'AL QAIDA
elpachato;mangez des pommes !
spawn31;GRAND ROI DE LA TEAM OSEF
chacalopod;...passant...
dduckof62;C'est mieux qu'si c'était pire
san marco;tune up - turn loud
Pierre-Pat;Excroyable
Ludoss;( ͡° ͜ʖ ͡°)  NNID : ludowski
karyomax;©ª®ýÖ
blouskaille;Formateur de disque dur
Meloti;• Hook'em Horns •
ashrog;Let's Rock Baby !
yilmazdu93100;Everyone nose !
sid sidious;Oh baby don't you wanna go
Audrey211;Cheick Diabaté
knahos;Question Reality...
martial33;http://www.fzm.fr/
Bernard Canette;La 1ère est GRA-TUI-TE !
Mike Hoksbiger;Truc de ouf.
Deouss;SOLA GRATIA
polomod;www.polomod.fr
ploumpy;:o
caillebotte;Mes raboteurs de parquet sûrs
flouflou59;Mi chui ch'ti et ti?
Zygonyx;Apocalypse soon
DevilGin;Au pays des Hommes Libres.
manuman34;a lutta continua
MiniOui;see you in the douches
l0g4n;Expert en tout :o
BlueLou;Who you'd be today
Jim PROFIT;Peut-être...
GibiShadok;M... le RPVA a encore planté !
milkyway58;Dessert lacté
Svensl;woof ?
